[2021-11-30 11:02:50.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.806] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:51.118] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:51.571] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.306] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.131] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.868] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.056] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.306] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.306] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.306] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.619] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:56.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:57.493] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:10.884] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:12.666] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:14.184] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:14.184] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:14.356] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:14.415] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:15.135] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:16.557] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:17.826] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:17.826] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:18.251] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:18.900] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:19.539] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:20.337] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:20.607] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:20.796] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:20.796] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:20.796] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.667] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.667] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.667] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.667] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:21.667] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:22.292] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:22.353] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:22.674] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:22.919] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:23.047] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:23.166] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.025] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.275] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.533] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.533] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.609] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:24.609] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
